file1,file2,semantic_similarity,classification,actual_clone,predicted_clone
factorial.rs,fibonacci.c,15.0,VERY LOW SIMILARITY,False,False
factorial.rs,fibonacci.cpp,15.0,VERY LOW SIMILARITY,False,False
factorial.rs,fibonacci.f90,15.0,VERY LOW SIMILARITY,False,False
factorial.rs,fibonacci.rs,15.0,VERY LOW SIMILARITY,False,False
factorial.rs,inventory_tracker.c,14.3,VERY LOW SIMILARITY,False,False
factorial.rs,matrix_multiply.c,18.4,VERY LOW SIMILARITY,False,False
factorial.rs,max_element.c,19.1,VERY LOW SIMILARITY,False,False
factorial.rs,max_element.cpp,19.1,VERY LOW SIMILARITY,False,False
factorial.rs,max_element.f90,19.1,VERY LOW SIMILARITY,False,False
factorial.rs,max_element.rs,21.2,VERY LOW SIMILARITY,False,False
factorial.rs,searching.c,19.0,VERY LOW SIMILARITY,False,False
factorial.rs,sorting.c,12.1,VERY LOW SIMILARITY,False,False
factorial.rs,sorting.cpp,12.1,VERY LOW SIMILARITY,False,False
factorial.rs,sorting.f90,12.1,VERY LOW SIMILARITY,False,False
factorial.rs,sorting.rs,15.0,VERY LOW SIMILARITY,False,False
factorial.rs,student.c,14.1,VERY LOW SIMILARITY,False,False
factorial.rs,student.cpp,16.4,VERY LOW SIMILARITY,False,False
factorial.rs,student.f90,16.7,VERY LOW SIMILARITY,False,False
factorial.rs,student.rs,17.3,VERY LOW SIMILARITY,False,False
factorial.rs,vowel_counter.c,22.3,VERY LOW SIMILARITY,False,False
fibonacci.c,fibonacci.cpp,98.6,HIGH SIMILARITY CLONE,True,True
fibonacci.c,fibonacci.f90,97.9,HIGH SIMILARITY CLONE,True,True
fibonacci.c,fibonacci.rs,98.2,HIGH SIMILARITY CLONE,True,True
fibonacci.c,inventory_tracker.c,15.0,VERY LOW SIMILARITY,False,False
fibonacci.c,matrix_multiply.c,18.4,VERY LOW SIMILARITY,False,False
fibonacci.c,max_element.c,19.0,VERY LOW SIMILARITY,False,False
fibonacci.c,max_element.cpp,19.0,VERY LOW SIMILARITY,False,False
fibonacci.c,max_element.f90,18.9,VERY LOW SIMILARITY,False,False
fibonacci.c,max_element.rs,21.1,VERY LOW SIMILARITY,False,False
fibonacci.c,searching.c,18.1,VERY LOW SIMILARITY,False,False
fibonacci.c,sorting.c,11.7,VERY LOW SIMILARITY,False,False
fibonacci.c,sorting.cpp,11.7,VERY LOW SIMILARITY,False,False
fibonacci.c,sorting.f90,11.7,VERY LOW SIMILARITY,False,False
fibonacci.c,sorting.rs,14.5,VERY LOW SIMILARITY,False,False
fibonacci.c,student.c,16.1,VERY LOW SIMILARITY,False,False
fibonacci.c,student.cpp,18.3,VERY LOW SIMILARITY,False,False
fibonacci.c,student.f90,18.5,VERY LOW SIMILARITY,False,False
fibonacci.c,student.rs,18.2,VERY LOW SIMILARITY,False,False
fibonacci.c,vowel_counter.c,20.1,VERY LOW SIMILARITY,False,False
fibonacci.cpp,fibonacci.f90,97.6,HIGH SIMILARITY CLONE,True,True
fibonacci.cpp,fibonacci.rs,97.8,HIGH SIMILARITY CLONE,True,True
fibonacci.cpp,inventory_tracker.c,15.0,VERY LOW SIMILARITY,False,False
fibonacci.cpp,matrix_multiply.c,18.2,VERY LOW SIMILARITY,False,False
fibonacci.cpp,max_element.c,18.8,VERY LOW SIMILARITY,False,False
fibonacci.cpp,max_element.cpp,18.8,VERY LOW SIMILARITY,False,False
fibonacci.cpp,max_element.f90,18.7,VERY LOW SIMILARITY,False,False
fibonacci.cpp,max_element.rs,21.4,VERY LOW SIMILARITY,False,False
fibonacci.cpp,searching.c,17.6,VERY LOW SIMILARITY,False,False
fibonacci.cpp,sorting.c,12.3,VERY LOW SIMILARITY,False,False
fibonacci.cpp,sorting.cpp,12.3,VERY LOW SIMILARITY,False,False
fibonacci.cpp,sorting.f90,12.2,VERY LOW SIMILARITY,False,False
fibonacci.cpp,sorting.rs,13.9,VERY LOW SIMILARITY,False,False
fibonacci.cpp,student.c,16.0,VERY LOW SIMILARITY,False,False
fibonacci.cpp,student.cpp,17.8,VERY LOW SIMILARITY,False,False
fibonacci.cpp,student.f90,17.9,VERY LOW SIMILARITY,False,False
fibonacci.cpp,student.rs,17.8,VERY LOW SIMILARITY,False,False
fibonacci.cpp,vowel_counter.c,19.7,VERY LOW SIMILARITY,False,False
fibonacci.f90,fibonacci.rs,99.0,HIGH SIMILARITY CLONE,True,True
fibonacci.f90,inventory_tracker.c,15.2,VERY LOW SIMILARITY,False,False
fibonacci.f90,matrix_multiply.c,17.3,VERY LOW SIMILARITY,False,False
fibonacci.f90,max_element.c,17.7,VERY LOW SIMILARITY,False,False
fibonacci.f90,max_element.cpp,17.7,VERY LOW SIMILARITY,False,False
fibonacci.f90,max_element.f90,17.7,VERY LOW SIMILARITY,False,False
fibonacci.f90,max_element.rs,20.1,VERY LOW SIMILARITY,False,False
fibonacci.f90,searching.c,18.1,VERY LOW SIMILARITY,False,False
fibonacci.f90,sorting.c,10.6,VERY LOW SIMILARITY,False,False
fibonacci.f90,sorting.cpp,10.6,VERY LOW SIMILARITY,False,False
fibonacci.f90,sorting.f90,10.6,VERY LOW SIMILARITY,False,False
fibonacci.f90,sorting.rs,13.6,VERY LOW SIMILARITY,False,False
fibonacci.f90,student.c,16.3,VERY LOW SIMILARITY,False,False
fibonacci.f90,student.cpp,17.9,VERY LOW SIMILARITY,False,False
fibonacci.f90,student.f90,17.8,VERY LOW SIMILARITY,False,False
fibonacci.f90,student.rs,18.6,VERY LOW SIMILARITY,False,False
fibonacci.f90,vowel_counter.c,20.5,VERY LOW SIMILARITY,False,False
fibonacci.rs,inventory_tracker.c,15.1,VERY LOW SIMILARITY,False,False
fibonacci.rs,matrix_multiply.c,17.9,VERY LOW SIMILARITY,False,False
fibonacci.rs,max_element.c,18.0,VERY LOW SIMILARITY,False,False
fibonacci.rs,max_element.cpp,18.0,VERY LOW SIMILARITY,False,False
fibonacci.rs,max_element.f90,18.0,VERY LOW SIMILARITY,False,False
fibonacci.rs,max_element.rs,20.3,VERY LOW SIMILARITY,False,False
fibonacci.rs,searching.c,18.4,VERY LOW SIMILARITY,False,False
fibonacci.rs,sorting.c,10.9,VERY LOW SIMILARITY,False,False
fibonacci.rs,sorting.cpp,10.9,VERY LOW SIMILARITY,False,False
fibonacci.rs,sorting.f90,11.0,VERY LOW SIMILARITY,False,False
fibonacci.rs,sorting.rs,14.0,VERY LOW SIMILARITY,False,False
fibonacci.rs,student.c,16.1,VERY LOW SIMILARITY,False,False
fibonacci.rs,student.cpp,17.8,VERY LOW SIMILARITY,False,False
fibonacci.rs,student.f90,17.6,VERY LOW SIMILARITY,False,False
fibonacci.rs,student.rs,18.6,VERY LOW SIMILARITY,False,False
fibonacci.rs,vowel_counter.c,20.4,VERY LOW SIMILARITY,False,False
inventory_tracker.c,matrix_multiply.c,11.2,VERY LOW SIMILARITY,False,False
inventory_tracker.c,max_element.c,11.7,VERY LOW SIMILARITY,False,False
inventory_tracker.c,max_element.cpp,11.7,VERY LOW SIMILARITY,False,False
inventory_tracker.c,max_element.f90,11.7,VERY LOW SIMILARITY,False,False
inventory_tracker.c,max_element.rs,9.2,VERY LOW SIMILARITY,False,False
inventory_tracker.c,searching.c,13.3,VERY LOW SIMILARITY,False,False
inventory_tracker.c,sorting.c,12.4,VERY LOW SIMILARITY,False,False
inventory_tracker.c,sorting.cpp,12.4,VERY LOW SIMILARITY,False,False
inventory_tracker.c,sorting.f90,12.4,VERY LOW SIMILARITY,False,False
inventory_tracker.c,sorting.rs,9.9,VERY LOW SIMILARITY,False,False
inventory_tracker.c,student.c,30.0,LOW SIMILARITY,False,False
inventory_tracker.c,student.cpp,30.0,LOW SIMILARITY,False,False
inventory_tracker.c,student.f90,30.0,LOW SIMILARITY,False,False
inventory_tracker.c,student.rs,30.0,LOW SIMILARITY,False,False
inventory_tracker.c,vowel_counter.c,11.9,VERY LOW SIMILARITY,False,False
matrix_multiply.c,max_element.c,18.6,VERY LOW SIMILARITY,False,False
matrix_multiply.c,max_element.cpp,18.6,VERY LOW SIMILARITY,False,False
matrix_multiply.c,max_element.f90,18.7,VERY LOW SIMILARITY,False,False
matrix_multiply.c,max_element.rs,16.1,VERY LOW SIMILARITY,False,False
matrix_multiply.c,searching.c,27.4,VERY LOW SIMILARITY,False,False
matrix_multiply.c,sorting.c,28.1,VERY LOW SIMILARITY,False,False
matrix_multiply.c,sorting.cpp,28.1,VERY LOW SIMILARITY,False,False
matrix_multiply.c,sorting.f90,28.2,VERY LOW SIMILARITY,False,False
matrix_multiply.c,sorting.rs,25.7,VERY LOW SIMILARITY,False,False
matrix_multiply.c,student.c,10.9,VERY LOW SIMILARITY,False,False
matrix_multiply.c,student.cpp,12.7,VERY LOW SIMILARITY,False,False
matrix_multiply.c,student.f90,12.9,VERY LOW SIMILARITY,False,False
matrix_multiply.c,student.rs,10.1,VERY LOW SIMILARITY,False,False
matrix_multiply.c,vowel_counter.c,19.4,VERY LOW SIMILARITY,False,False
max_element.c,max_element.cpp,100.0,HIGH SIMILARITY CLONE,True,True
max_element.c,max_element.f90,99.7,HIGH SIMILARITY CLONE,True,True
max_element.c,max_element.rs,96.7,HIGH SIMILARITY CLONE,True,True
max_element.c,searching.c,30.0,LOW SIMILARITY,False,False
max_element.c,sorting.c,30.0,LOW SIMILARITY,False,False
max_element.c,sorting.cpp,30.0,LOW SIMILARITY,False,False
max_element.c,sorting.f90,30.0,LOW SIMILARITY,False,False
max_element.c,sorting.rs,30.0,LOW SIMILARITY,False,False
max_element.c,student.c,12.9,VERY LOW SIMILARITY,False,False
max_element.c,student.cpp,15.0,VERY LOW SIMILARITY,False,False
max_element.c,student.f90,15.2,VERY LOW SIMILARITY,False,False
max_element.c,student.rs,11.9,VERY LOW SIMILARITY,False,False
max_element.c,vowel_counter.c,25.9,VERY LOW SIMILARITY,False,False
max_element.cpp,max_element.f90,99.7,HIGH SIMILARITY CLONE,True,True
max_element.cpp,max_element.rs,96.7,HIGH SIMILARITY CLONE,True,True
max_element.cpp,searching.c,30.0,LOW SIMILARITY,False,False
max_element.cpp,sorting.c,30.0,LOW SIMILARITY,False,False
max_element.cpp,sorting.cpp,30.0,LOW SIMILARITY,False,False
max_element.cpp,sorting.f90,30.0,LOW SIMILARITY,False,False
max_element.cpp,sorting.rs,30.0,LOW SIMILARITY,False,False
max_element.cpp,student.c,12.9,VERY LOW SIMILARITY,False,False
max_element.cpp,student.cpp,15.0,VERY LOW SIMILARITY,False,False
max_element.cpp,student.f90,15.2,VERY LOW SIMILARITY,False,False
max_element.cpp,student.rs,11.9,VERY LOW SIMILARITY,False,False
max_element.cpp,vowel_counter.c,25.9,VERY LOW SIMILARITY,False,False
max_element.f90,max_element.rs,96.7,HIGH SIMILARITY CLONE,True,True
max_element.f90,searching.c,30.0,LOW SIMILARITY,False,False
max_element.f90,sorting.c,30.0,LOW SIMILARITY,False,False
max_element.f90,sorting.cpp,30.0,LOW SIMILARITY,False,False
max_element.f90,sorting.f90,30.0,LOW SIMILARITY,False,False
max_element.f90,sorting.rs,30.0,LOW SIMILARITY,False,False
max_element.f90,student.c,12.9,VERY LOW SIMILARITY,False,False
max_element.f90,student.cpp,15.0,VERY LOW SIMILARITY,False,False
max_element.f90,student.f90,15.3,VERY LOW SIMILARITY,False,False
max_element.f90,student.rs,11.9,VERY LOW SIMILARITY,False,False
max_element.f90,vowel_counter.c,25.9,VERY LOW SIMILARITY,False,False
max_element.rs,searching.c,30.0,LOW SIMILARITY,False,False
max_element.rs,sorting.c,30.0,LOW SIMILARITY,False,False
max_element.rs,sorting.cpp,30.0,LOW SIMILARITY,False,False
max_element.rs,sorting.f90,30.0,LOW SIMILARITY,False,False
max_element.rs,sorting.rs,30.0,LOW SIMILARITY,False,False
max_element.rs,student.c,10.4,VERY LOW SIMILARITY,False,False
max_element.rs,student.cpp,12.2,VERY LOW SIMILARITY,False,False
max_element.rs,student.f90,12.3,VERY LOW SIMILARITY,False,False
max_element.rs,student.rs,14.3,VERY LOW SIMILARITY,False,False
max_element.rs,vowel_counter.c,23.2,VERY LOW SIMILARITY,False,False
searching.c,sorting.c,15.0,VERY LOW SIMILARITY,False,False
searching.c,sorting.cpp,15.0,VERY LOW SIMILARITY,False,False
searching.c,sorting.f90,15.0,VERY LOW SIMILARITY,False,False
searching.c,sorting.rs,15.0,VERY LOW SIMILARITY,False,False
searching.c,student.c,11.9,VERY LOW SIMILARITY,False,False
searching.c,student.cpp,14.1,VERY LOW SIMILARITY,False,False
searching.c,student.f90,13.9,VERY LOW SIMILARITY,False,False
searching.c,student.rs,11.7,VERY LOW SIMILARITY,False,False
searching.c,vowel_counter.c,26.5,VERY LOW SIMILARITY,False,False
sorting.c,sorting.cpp,100.0,HIGH SIMILARITY CLONE,True,True
sorting.c,sorting.f90,99.2,HIGH SIMILARITY CLONE,True,True
sorting.c,sorting.rs,95.8,HIGH SIMILARITY CLONE,True,True
sorting.c,student.c,12.3,VERY LOW SIMILARITY,False,False
sorting.c,student.cpp,14.2,VERY LOW SIMILARITY,False,False
sorting.c,student.f90,14.3,VERY LOW SIMILARITY,False,False
sorting.c,student.rs,14.5,VERY LOW SIMILARITY,False,False
sorting.c,vowel_counter.c,17.9,VERY LOW SIMILARITY,False,False
sorting.cpp,sorting.f90,99.2,HIGH SIMILARITY CLONE,True,True
sorting.cpp,sorting.rs,95.8,HIGH SIMILARITY CLONE,True,True
sorting.cpp,student.c,12.3,VERY LOW SIMILARITY,False,False
sorting.cpp,student.cpp,14.2,VERY LOW SIMILARITY,False,False
sorting.cpp,student.f90,14.3,VERY LOW SIMILARITY,False,False
sorting.cpp,student.rs,14.5,VERY LOW SIMILARITY,False,False
sorting.cpp,vowel_counter.c,17.9,VERY LOW SIMILARITY,False,False
sorting.f90,sorting.rs,95.9,HIGH SIMILARITY CLONE,True,True
sorting.f90,student.c,12.3,VERY LOW SIMILARITY,False,False
sorting.f90,student.cpp,14.2,VERY LOW SIMILARITY,False,False
sorting.f90,student.f90,14.4,VERY LOW SIMILARITY,False,False
sorting.f90,student.rs,14.5,VERY LOW SIMILARITY,False,False
sorting.f90,vowel_counter.c,17.9,VERY LOW SIMILARITY,False,False
sorting.rs,student.c,9.9,VERY LOW SIMILARITY,False,False
sorting.rs,student.cpp,12.4,VERY LOW SIMILARITY,False,False
sorting.rs,student.f90,12.2,VERY LOW SIMILARITY,False,False
sorting.rs,student.rs,17.8,VERY LOW SIMILARITY,False,False
sorting.rs,vowel_counter.c,16.1,VERY LOW SIMILARITY,False,False
student.c,student.cpp,96.6,HIGH SIMILARITY CLONE,True,True
student.c,student.f90,96.6,HIGH SIMILARITY CLONE,True,True
student.c,student.rs,90.1,HIGH SIMILARITY CLONE,True,True
student.c,vowel_counter.c,12.2,VERY LOW SIMILARITY,False,False
student.cpp,student.f90,99.2,HIGH SIMILARITY CLONE,True,True
student.cpp,student.rs,92.1,HIGH SIMILARITY CLONE,True,True
student.cpp,vowel_counter.c,14.2,VERY LOW SIMILARITY,False,False
student.f90,student.rs,92.0,HIGH SIMILARITY CLONE,True,True
student.f90,vowel_counter.c,14.1,VERY LOW SIMILARITY,False,False
student.rs,vowel_counter.c,12.2,VERY LOW SIMILARITY,False,False
